code;name
ssum9;Black Parrot Summon
ssum10;White Parrot Summon
sp1;% To Heal % on nth BossKill
sp2;Burning Malady
sp3;Refresh Enemy Statuses on nth Hit
sp4;Damage % vs Statused Enemies
sp5;Damage % vs Immobilized Enemies
sp6;Global DPS to Enemies
sp7;Enemy Damage % Reduced
sp8;Enemy Attack Speeds % Reduced
sp9;Enemy Projectile Velocity % Reduced
sp10;Enemy Movement Speed % Reduced
sp11;Enemy Actions Speed % Reduced
sp12;Enemy Areas % Reduced
sp13;Enemy Aim % Reduced
sp14;Damage % vs Minions
sp15;Damage % vs Elites
sp16;Damage % vs Bosses
sp17;Attack Speed % when below % life
unstr;Strength
unstam;Stamina
unwinter;Winter's Embrace
unequil;Equilibrium
unsheph;Shepherd
unspirkni;Spirit Knife
unjackrab;Jackrabbit
ungodrage;Godrage
undiabol;Diabolic II
unwitch;Witchsword
unsncane;Snowswatch Candy Cane
adeu%;Attack Damage % vs undamaged enemies
sdeu%;Strike Damage % vs undamaged enemies
adebl%;Attack Damage % vs enemies below % life
sdebl%;Strike Damage % vs enemies below % life
adeal%;Attack Damage % vs enemies above % life
sdeal%;Strike Damage % vs enemies above % life
dsum%;Summon Damage %
av%;Attack Projectile Velocity %
sv%;Projectile Velocity %
cnt;Projectile Count
-thr%_e;Shorter Enemy Barriers %

